id_campeonato,nombre_campeonato,nombre_torneo
826,Copa O'Higgins Ejercito 2023,Copa O'Higgins Ejercito
827,Marcha Atlética 2023,Torneo Club Atlético Búfalos de Tarapacá
828,3° Fecha 2023,Torneo ADECOP
829,Copa La Cruz 2023,Copa La Cruz
830,2023 2023,Metropolitano de Cross Country
831,Carabineros de Chile 2023,Todo Competidor AARM
834,Andres Calonje 2023,Grand Prix Sudamericano
835,Torneo Atlético Perla del Norte 2023,Torneo Atlético Perla del Norte
836,Lanzamientos 2023,Campeonato Nacional de Área
837,Cross Country Invierno 2023,Campeonato Nacional
838,Fondo/Medio Fondo y Marcha 2023,Campeonato Nacional de Área
839,Copa Ciudad de Chillán 2023,Copa Ciudad de Chillán
841,Cross Country Cadecu Athletic 2023,Cross Country Cadecu Athletic
842,Torneo Atlético Desierto Florido 2023,Torneo Atlético Desierto Florido
844,Zonal Norte  2023,Región de Tarapacá
845,Lanzamientos 2023,Región de Coquimbo
846,1° Fecha 2023,Juegos Deportivos Escolares - O'Higgins
847,1° Fecha 2023,Juegos Deportivos Escolares - Tarapacá
848,1° Fecha 2023,Torneo Club Sporting Coquimbo
849,2° Fecha 2023,Torneo Club Sporting Coquimbo
850,4° Fecha 2023,Torneo ADECOP
851,Medio Maratón 2023,Campeonato Nacional
853,Cross Country Penco 2023,Cross Country Penco
854,Selectivo Zonal Norte 2023,Región de Arica y Parinacota
855,Selectivo Zonal Norte 2023,Región de Tarapacá
856,Copa Colegio Inglés de Talca 2023,Copa Colegio Inglés de Talca
857,Invierno 2023,Asociación Quinta Región
858,-,
859,Aniversario 39º 2023,Campeonato Club Nilda Rojas
862,Regional U14 2023,Juegos Deportivos Escolares - Maule
863,"Copa San Anselmo ""María Gracia Varas"" 2023","Copa San Anselmo ""María Gracia Varas"""
864,CODEFEN 2023,Campeonato de Atletismo Interescuelas Matrices - CODEFEN
865,Fiestas Patrias 2023,Torneo Club Atlético Búfalos de Tarapacá
867,Final Nacional 2023,Juegos Deportivos Escolares
874,Septiembre 2023,Meeting UC
875,Garrocha 2023,Campeonato Nacional de Área
876,Bala 1° Fecha 2023,Meeting UC
877,Bala 2° Fecha 2023,Meeting UC
878,2° Septiembre 2023,Meeting UC
879,Día del Niño 2023,Día del Niño
880,Festival de Relevos 2023,Meeting NCT - Talagante
881,Torneo Atlético Manuel Larraín 2023,Torneo Atlético Manuel Larraín
882,Torneo Colegio Arrayanes 2023,Torneo Colegio Arrayanes
884,Torneo Atlético Runnorth Chile 2023,Torneo Atlético Runnorth Chile
885,Torneo Liceo Bicentenario Coihueco 2023,Torneo Liceo Bicentenario Coihueco
886,Copa Santa Úrsula 2023,Copa Santa Úrsula
887,-,
888,Federado y Máster 2023,Torneo Pruebas No Tradicionales
889,Escolar 2023,Torneo Pruebas No Tradicionales
890,Ñuble 2023,Selectivo Binacionales La Araucanía
891,3° Torneo Sexta Región 2023,Región de O'Higgins
892,Nacional Lanzamientos U16 2023,Región de Los Rios
893,Primavera 2023,Torneo Club Atlético Búfalos de Tarapacá
894,2° Fecha 2023,Liga Deportiva de Educación Superior RM
895,6° Evaluativo 2023,Región de La Araucanía
896,7° Evaluativo 2023,Región de La Araucanía
898,Ñuble 2023,Regional U12 - Ñuble
899,Maratón 2023,Juegos Panamericanos
900,Cross Country Freire 2023,Región de La Araucanía
901,Juvenil  2023,Juegos Deportivos Escolares - Ñuble
902,Torneo Atlético Escolar Karen Gallardo Pinto 2023,Torneo Atlético Escolar Karen Gallardo Pinto
903,Clasificatorio Mundial 2023,Cross Country Escolar UC
904,Aniversario 2023,Torneo Club Atlético Formativo
905,Todo Competidor 2023,Región de Ñuble
906,Club Atlético Coquimbo 2023,Región de Coquimbo
907,Clausura 2023,Meeting UC
908,Aniversario 2º Versión 2023,Torneo Club Atlético Búfalos de Tarapacá
910,Torneo Aniversario Club Atlético Chuquicamata 2023,Torneo Aniversario Club Atlético Chuquicamata
911,Cross Atlético Cheukeniata 2023,Región del Bio Bío
913,Torneo Promesas del Atletismo 2023,Torneo Promesas del Atletismo
914,Campeonato Nacional FENAUDE 2023,Campeonato Nacional FENAUDE
915,Juegos Olímpicos para Padres 2023,Juegos Olímpicos para Padres
916,Clausura 2023,Región de O'Higgins
917,Torneo Stanislav Vozniak 2023,Torneo Stanislav Vozniak
918,3° Versión  2023,Copa Zona Sur Carreras Pedestres
919,Torneo Club Endurance Runners 2023,Torneo Club Endurance Runners
